Column1,Unnamed0,call_type,received_timestamp,disptach_timestamp,dispatch_time,latitude,longitude,TransactionId,ComputedAPN,StreetAddress,ComputedCity,ComputedState,ComputedZip
4276,4276,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.76846225,-122.4312049,,3537042,43 Sanchez St,San Francisco,CA,94114
4283,4283,Structure Fire,0 days 10:19:30.000000000,0 days 10:19:39.000000000,0 days 00:00:09.000000000,37.77337237,-122.4434016,,1207013A,1550 Fell St,San Francisco,CA,94117
4286,4286,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.77817469,-122.4316006,,780036,926 Fillmore St,San Francisco,CA,94117
4292,4292,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.7815854,-122.4230902,,0761016A,835 Turk St,San Francisco,CA,94102
4293,4293,Structure Fire,0 days 20:19:16.000000000,0 days 20:22:00.000000000,0 days 00:02:44.000000000,37.76374916,-122.4942674,,1716036,1246  35th Ave,San Francisco,CA,94122
4369,4369,Structure Fire,0 days 07:48:50.000000000,0 days 07:49:31.000000000,0 days 00:00:41.000000000,37.80253406,-122.4306874,,471003,3400 Laguna St,San Francisco,CA,94123
4377,4377,Structure Fire,0 days 20:19:16.000000000,0 days 20:22:00.000000000,0 days 00:02:44.000000000,37.78456824,-122.4312049,,708021,1489 Webster St,San Francisco,CA,94115
4387,4387,Structure Fire,0 days 07:33:46.000000000,0 days 07:35:21.000000000,0 days 00:01:35.000000000,37.72996736,-122.3820961,,4733011,1221 Oakdale Ave,San Francisco,CA,94124
4406,4406,Structure Fire,0 days 19:37:40.000000000,0 days 19:39:00.000000000,0 days 00:01:20.000000000,37.78667901,-122.413995,,304024,640 Geary St,San Francisco,CA,94109
4417,4417,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.79382859,-122.4101616,,212013,1034 Clay St,San Francisco,CA,94108
4422,4422,Structure Fire,0 days 13:31:36.000000000,0 days 13:31:40.000000000,0 days 00:00:04.000000000,37.81052072,-122.3651383,,,,,CA,94130
4429,4429,Structure Fire,0 days 19:37:40.000000000,0 days 19:39:00.000000000,0 days 00:01:20.000000000,37.74959545,-122.3996788,,4343001A,2305 Cesar Chavez,San Francisco,CA,94124
4439,4439,Structure Fire,0 days 07:48:50.000000000,0 days 07:49:31.000000000,0 days 00:00:41.000000000,37.79913472,-122.4083964,,131017,444 Columbus Ave,San Francisco,CA,94133
4449,4449,Structure Fire,0 days 19:15:11.000000000,0 days 19:18:41.000000000,0 days 00:03:30.000000000,-37.798714,122.4096183,,,,,,
4455,4455,Structure Fire,0 days 07:48:50.000000000,0 days 07:49:31.000000000,0 days 00:00:41.000000000,37.78600483,-122.3950773,,3749165,88 Guy Pl,San Francisco,CA,94105
4461,4461,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.79679283,-122.4148366,,157050,1085 Broadway,San Francisco,CA,94133
4474,4474,Structure Fire,0 days 20:19:16.000000000,0 days 20:22:00.000000000,0 days 00:02:44.000000000,37.78119999,-122.4303649,,748032,1150 Buchanan St,San Francisco,CA,94115
4485,4485,Structure Fire,0 days 07:48:50.000000000,0 days 07:49:31.000000000,0 days 00:00:41.000000000,37.76828478,-122.4188852,,3548058,239  14th St,San Francisco,CA,94103
4491,4491,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.78383852,-122.4137755,,333012,380 Eddy St,San Francisco,CA,94102
4495,4495,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.78434554,-122.4077851,,341014,902 Market St,San Francisco,CA,94102
4500,4500,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.78802055,-122.4260616,,664033,1738 Bush St,San Francisco,CA,94109
4501,4501,Structure Fire,0 days 00:27:47.000000000,0 days 00:27:54.000000000,0 days 00:00:07.000000000,37.76907613,-122.4471673,,1245007,1418 Waller St,San Francisco,CA,94117
4502,4502,Structure Fire,0 days 15:52:18.000000000,0 days 15:54:11.000000000,0 days 00:01:53.000000000,37.77966604,-122.4137112,,351046,1130 Market St,San Francisco,CA,94102
4514,4514,Structure Fire,0 days 20:19:16.000000000,0 days 20:22:00.000000000,0 days 00:02:44.000000000,37.78988335,-122.4180124,,278020,909 Hyde St,San Francisco,CA,94109
4541,4541,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.79406256,-122.4083228,,211007,950 Clay St,San Francisco,CA,94108
4545,4545,Structure Fire,0 days 07:33:46.000000000,0 days 07:35:21.000000000,0 days 00:01:35.000000000,37.78186545,-122.4142853,,345004,200 Golden Gate Ave,San Francisco,CA,94102
4555,4555,Structure Fire,0 days 13:31:36.000000000,0 days 13:31:40.000000000,0 days 00:00:04.000000000,37.75260006,-122.4924136,,2070041,1846  34th Ave,San Francisco,CA,94122
4560,4560,Structure Fire,0 days 19:37:40.000000000,0 days 19:39:00.000000000,0 days 00:01:20.000000000,37.78294352,-122.4199884,,742011,747 Eddy St,San Francisco,CA,94102
4581,4581,Structure Fire,0 days 00:27:47.000000000,0 days 00:27:54.000000000,0 days 00:00:07.000000000,37.79733383,-122.4186717,,152039,1281 Vallejo St,San Francisco,CA,94109
4582,4582,Structure Fire,0 days 19:15:11.000000000,0 days 19:17:11.000000000,0 days 00:02:00.000000000,37.77966604,-122.4137112,,351046,1130 Market St,San Francisco,CA,94102
